famille,age,sexe,attribute_set,,categories_es,categories_it
ACC CH_CIRAGE,CHAUSSURES,F,Default,,Calzado Infantil/Niña/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe
ACC CH_CIRAGE,CHAUSSURES,G,Default,,Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_CIRAGE,CHAUSSURES,M,Default,,Calzado Infantil/Niña/Cuidado de zapatos;;Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe;;Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_CIRAGE,CHAUSSURES,F,Default,,Calzado Infantil/Niña/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe
ACC CH_CIRAGE,CHAUSSURES,G,Default,,Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_CIRAGE,CHAUSSURES,M,Default,,Calzado Infantil/Niña/Cuidado de zapatos;;Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe;;Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_IMPERMEA,CHAUSSURES,F,Default,,Calzado Infantil/Niña/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe
ACC CH_IMPERMEA,CHAUSSURES,G,Default,,Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_IMPERMEA,CHAUSSURES,M,Default,,Calzado Infantil/Niña/Cuidado de zapatos;;Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe;;Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_IMPERMEA,CHAUSSURES,F,Default,,Calzado Infantil/Niña/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe
ACC CH_IMPERMEA,CHAUSSURES,G,Default,,Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_IMPERMEA,CHAUSSURES,M,Default,,Calzado Infantil/Niña/Cuidado de zapatos;;Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe;;Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_PEDIMETR,CHAUSSURES,F,Default,,Calzado Infantil/Niña/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe
ACC CH_PEDIMETR,CHAUSSURES,G,Default,,Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_PEDIMETR,CHAUSSURES,M,Default,,Calzado Infantil/Niña/Cuidado de zapatos;;Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe;;Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_PEDIMETR,CHAUSSURES,F,Default,,Calzado Infantil/Niña/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe
ACC CH_PEDIMETR,CHAUSSURES,G,Default,,Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_PEDIMETR,CHAUSSURES,M,Default,,Calzado Infantil/Niña/Cuidado de zapatos;;Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe;;Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_SEMELLE,CHAUSSURES,F,Chaussures,,Calzado Infantil/Niña/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe
ACC CH_SEMELLE,CHAUSSURES,G,Chaussures,,Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_SEMELLE,CHAUSSURES,M,Chaussures,,Calzado Infantil/Niña/Cuidado de zapatos;;Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe;;Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_SEMELLE,CHAUSSURES,F,Chaussures,,Calzado Infantil/Niña/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe
ACC CH_SEMELLE,CHAUSSURES,G,Chaussures,,Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambino/Cura delle scarpe
ACC CH_SEMELLE,CHAUSSURES,M,Chaussures,,Calzado Infantil/Niña/Cuidado de zapatos;;Calzado Infantil/Niño/Cuidado de zapatos,Scarpe bambini/Bambina/Cura delle scarpe;;Scarpe bambini/Bambino/Cura delle scarpe
ACCESSOIRE,BEBE,F,Default,,,
ACCESSOIRE,BEBE,G,Default,,,
ACCESSOIRE,BEBE,M,Default,,,
ACCESSOIRE,DPAM,F,Default,,Niña 3 – 14 años/Accesorios niña/Varios,Bambina 3 - 14 anni/Accessori bambina/Altro
ACCESSOIRE,DPAM,G,Default,,Niño 3 – 14 años/Accesorios niño/Varios,Bambino 3 - 14 anni/Accessori bambino/Altro
ACCESSOIRE,DPAM,M,Default,,Niño 3 – 14 años/Accesorios niño/Varios,Bambino 3 - 14 anni/Accessori bambino/Altro
