attribute_id,attribute_code,label,store_code,store_id,EN,FR,ES,IT
138,allow_message,Allow Message,admin,0,Allow Message,Autoriser les messages,Autorizar los mensajes,Autorizzare i messaggi
128,allow_open_amount,Allow Open Amount,admin,0,Allow Open Amount,Autoriser les montants libres,Autorizar aportaciones libres,Autorizzare importo libero
101,category_ids,category_ids,admin,0,Categories,Catégories,Categorías,Categorie
85,color,Color,admin,0,Color,Couleur,Color,Colore
73,cost,Cost,admin,0,Cost,Prix d'achat,Precio de compra,Prezzo di acquisto
110,country_of_manufacture,Country of Manufacture,admin,0,Country of Manufacture,Pays de fabrication,País de fabricación,Paese di fabbricazione
108,created_at,created_at,admin,0,created_at,Créé le,Creado el,Creato il
96,custom_design,Custom Design,admin,0,Custom Design,Design personnalisé,Diseño personalizado,Design personalizzato
97,custom_design_from,Active From,admin,0,Active From,Actif du,Activo desde el,Attivo dal
98,custom_design_to,Active To,admin,0,Active To,Actif jusqu'au,Activo hasta el,Attivo fino al
99,custom_layout_update,Custom Layout Update,admin,0,Custom Layout Update,Mise à jour du layout personnalisé,Actualización del layout personalizado,Aggiornamento layout personalizzato
66,description,Description,admin,0,Description,Description,Descripción,Descrizione
136,email_template,Email Template,admin,0,Email Template,Template du mail,Template del mail,Email Template
114,enable_googlecheckout,Is Product Available for Purchase with Google Checkout,admin,0,Is Product Available for Purchase with Google Checkout,Le produit est il disponible pour Google Checkout ?,El artículo está disponible para Google Checkout?,L'articolo è disponibile per l'acquisto con Google Checkout?
88,gallery,Image Gallery,admin,0,Image Gallery,Gallerie d'images,Galería de Imagenes,Galleria d'immagini
116,gift_message_available,Allow Gift Message,admin,0,Allow Gift Message,Autoriser les messages cadeaux,Autorizar los mensajes para regalo,Autorizzare i messaggi per regali
140,gift_wrapping_available,Allow Gift Wrapping,admin,0,Allow Gift Wrapping,Autoriser les emballages cadeaux,Autorizar embalaje de regalo,Autorizzare le confezioni regalo
141,gift_wrapping_price,Price for Gift Wrapping,admin,0,Price for Gift Wrapping,Prix de l'emballage cadeaux,Precio del embalaje para regalo,Prezzo della confezione regalo
127,giftcard_amounts,Amounts,admin,0,Amounts,Montants,Monto,Importi
131,giftcard_type,Card Type,admin,0,Card Type,Type de carte,Tipo de tarjeta,Tipo di carta
174,group_price,Group Price,admin,0,Group Price,Prix par groupe de clients,Precio por grupo,Prezzo per gruppo di clienti
104,has_options,has_options,admin,0,has_options,A-t-il des options ?,Existen opciones?,Ci sono delle opzioni?
