attribute_id,attribute_code,label,EN,FR,ES,IT
138,allow_message,Allow Message,Allow Message,Autoriser les messages,Autorizar los mensajes,Autorizzare i messaggi
128,allow_open_amount,Allow Open Amount,Allow Open Amount,Autoriser les montants libres,Autorizar aportaciones libres,Autorizzare importo libero
101,category_ids,category_ids,Categories,Catégories,Categorías,Categorie
85,color,Color,Color,Couleur,Color,Colore
73,cost,Cost,Cost,Prix d'achat,Precio de compra,Prezzo di acquisto
110,country_of_manufacture,Country of Manufacture,Country of Manufacture,Pays de fabrication,País de fabricación,Paese di fabbricazione
108,created_at,created_at,created_at,Créé le,Creado el,Creato il
96,custom_design,Custom Design,Custom Design,Design personnalisé,Diseño personalizado,Design personalizzato
97,custom_design_from,Active From,Active From,Actif du,Activo desde el,Attivo dal
98,custom_design_to,Active To,Active To,Actif jusqu'au,Activo hasta el,Attivo fino al
99,custom_layout_update,Custom Layout Update,Custom Layout Update,Mise à jour du layout personnalisé,Actualización del layout personalizado,Aggiornamento layout personalizzato
66,description,Description,Description,Description,Descripción,Descrizione
136,email_template,Email Template,Email Template,Template du mail,Template del mail,Email Template
114,enable_googlecheckout,Is Product Available for Purchase with Google Checkout,Is Product Available for Purchase with Google Checkout,Le produit est il disponible pour Google Checkout ?,El artículo está disponible para Google Checkout?,L'articolo è disponibile per l'acquisto con Google Checkout?
88,gallery,Image Gallery,Image Gallery,Gallerie d'images,Galería de Imagenes,Galleria d'immagini
116,gift_message_available,Allow Gift Message,Allow Gift Message,Autoriser les messages cadeaux,Autorizar los mensajes para regalo,Autorizzare i messaggi per regali
140,gift_wrapping_available,Allow Gift Wrapping,Allow Gift Wrapping,Autoriser les emballages cadeaux,Autorizar embalaje de regalo,Autorizzare le confezioni regalo
141,gift_wrapping_price,Price for Gift Wrapping,Price for Gift Wrapping,Prix de l'emballage cadeaux,Precio del embalaje para regalo,Prezzo della confezione regalo
127,giftcard_amounts,Amounts,Amounts,Montants,Monto,Importi
131,giftcard_type,Card Type,Card Type,Type de carte,Tipo de tarjeta,Tipo di carta
174,group_price,Group Price,Group Price,Prix par groupe de clients,Precio por grupo,Prezzo per gruppo di clienti
104,has_options,has_options,has_options,A-t-il des options ?,Existen opciones?,Ci sono delle opzioni?
79,image,Base Image,Base Image,Image,Imagen,Immagine
105,image_label,Image Label,Image Label,Libellé de l'image,Nombre de la imagen,Nome immagine
93,is_recurring,Enable Recurring Profile,Enable Recurring Profile,Autoriser l'abonnement,Autorizar la suscripción,Autorizzare l'abbonamento
132,is_redeemable,Is Redeemable,Is Redeemable,Remboursable,Is Redeemable,Is Redeemable
163,is_returnable,Enable RMA,Enable RMA,Autoriser les retours ?,Autorizar la devolución?,Autorizzare il ritorno?
134,lifetime,Lifetime,Lifetime,Durée de vie,Vida útil,Ciclo di vita
125,links_exist,links_exist,links_exist,Un lien existe t il ?,Existe un link?,Esiste un link?
122,links_purchased_separately,Links can be purchased separately,Links can be purchased separately,Le lien peut il être commandé séparément ?,El link se puede comprar por separado?,Il link può essere comprato a parte?
124,links_title,Links title,Links title,Titre du lien,Título del link,Titolo del link
75,manufacturer,Manufacturer,Manufacturer,Fabricant,Fabricante,Produttore
82,media_gallery,Media Gallery,Media Gallery,Galerie de médias,Galería de media,Galleria media
78,meta_description,Meta Description,Meta Description,Description Meta,Descripción Meta,Meta Description
77,meta_keyword,Meta Keywords,Meta Keywords,Mots clefs Meta,Meta Keywords,Meta Keywords
76,meta_title,Meta Title,Meta Title,Titre meta,Meta Title,Meta Title
92,minimal_price,Minimal Price,Minimal Price,Prix minimum,Precio mínimo,Prezzo minimo
