products_classification_description;famille d'attribut;;;;;;;
ACC CH_CIRAGE;Default;;;;;;;
ACC CH_IMPERMEABILISANT;Default;;;;;;;
ACC CH_PEDIMETRE;Default;;;;;;;
ACC CH_SEMELLE;Chaussures;;;;;;;
ACCESSOIRE;Default;;;;;;;
ACCESSOIRES CHAISE;Default;;;;;;;
ACCESSOIRES DE THEME;Default;;;;;;;
ACCESSOIRES POUSSETTES;Accessoires Poussettes;;;;;;;
ACCESSOIRES REPAS;Vaisselle;;;;;;;
ASSIETTE;Vaisselle;;;;;;;
BAIGNADE_NU PIEDS;Chaussures;;;;;;;
BAIGNADE_SANDALE;Chaussures;;;;;;;
BAIGNADE_TONG;Chaussures;;;;;;;
BAIGNOIRE;Hygiène et bain;;;;;;;
BANDEAU;Vêtements;;;;;;;
BARRETTE;Default;;;;;;;
BAVOIR;Textile;;;;;;;
BERMUDA;Vêtements;;;;;;;
BIBERON;Biberonnerie;;;;;;;
BLOOMER;Vêtements;;;;;;;
BLOUSON;Vêtements;;;;;;;
BOB;Vêtements;;;;;;;
BODY;Vêtements;;;;;;;
BODY SOUS VET;Vêtements;;;;;;;
BOITE A MUSIQUE;Jouets;;;;;;;
BONNET;Vêtements;;;;;;;
BONNET DE BAIN;Vêtements;;;;;;;
BOULIER;Jouets;;;;;;;
BRACELET;Default;;;;;;;
BRACELET+COLLIER;Default;;;;;;;
CABAN;Vêtements;;;;;;;
CAGOULE;Vêtements;;;;;;;
CALECON;Vêtements;;;;;;;
CALECON SOUS-VETEMENT;Vêtements;;;;;;;
CAPE DE BAIN;Textile;;;;;;;
CASQUETTE;Vêtements;;;;;;;
CEINTURE;Vêtements;;;;;;;
CHAISE;Chaises hautes et Réducteurs;;;;;;;
CHANCELIERE;Accessoires Poussettes;;;;;;;
CHAPEAU;Vêtements;;;;;;;
CHAPKA;Vêtements;;;;;;;
CHAUFFE-BIBERONS;Biberonnerie;;;;;;;
CHAUSSETTES;Chaussures;;;;;;;
CHAUSSON/CHO7;Chaussures;;;;;;;
CHAUSSONS;Chaussures;;;;;;;
CHEMISE;Vêtements;;;;;;;
CHEMISE DE NUIT;Vêtements;;;;;;;
CHEMISIER;Vêtements;;;;;;;
CHOU-CHOU;Default;;;;;;;
COLLANT;Vêtements;;;;;;;
COLLIER;Default;;;;;;;
COMBINAISON;Vêtements;;;;;;;
COMBINAISON DE SKI;Vêtements;;;;;;;
COMBINAISON PILOTE;Vêtements;;;;;;;
CORBEILLE;Textile;;;;;;;
CORDON A LUNETTES;Default;;;;;;;
