code_colombus;code_mapped
0/3;Naissance,3 mois,1 mois
000M;Naissance
00M;Naissance
0M;Naissance
1/13;Autres
1/14;14 ans,12 ans
1/18;18 mois,12 mois
1/2;23 mois,2 ans,18 mois,12 mois
1/23;23 mois,18 mois
1/24;23 mois,18 mois
1/3;3 mois,1 mois
10/1;12 ans,10 ans
1011;10 ans
10A;10 ans
11/1;12 ans
1113;12 ans
12/1;14 ans,12 ans
12/2;23 mois,12 mois
12A;12 ans
12M;12 mois
13/1;14 ans
14/1;14 ans
14A;14 ans
15/1;14 ans
15/2;Pointure 20,Pointure 17,Pointure 16,Pointure 15
1516;Pointure 16,Pointure 15
1518;Pointure 18,Pointure 17,Pointure 16,Pointure 15
16/1;Pointure 17,Pointure 16
16A;14 ans
16AN;14 ans
17/1;Pointure 18,Pointure 17
1718;Pointure 18,Pointure 17
18/1;Pointure 19,Pointure 18
18/2;23 mois,18 mois
1819;Pointure 19,Pointure 18
1823;Pointure 23,Pointure 22
18A;14 ans
18M;18 mois
19/1;Pointure 20,Pointure 19
19/2;Pointure 20,Pointure 19
1920;Pointure 20,Pointure 19
1922;Pointure 22,Pointure 21,Pointure 19
1A;12 mois
1M;1 mois
2/3;3 ans,2 ans
2/4;4 ans,3 ans,2 ans
20/2;Pointure 21,Pointure 20
202;Pointure 22
21/2;Pointure 22,Pointure 21
21/3;Pointure 23,Pointure 22,Pointure 21
22/2;Pointure 23,Pointure 22
23/2;Pointure 24,Pointure 23
232;Pointure 24,Pointure 23
2326;Pointure 24,Pointure 23
23M;23 mois,2 ans
24/2;Pointure 24
2426;Pointure 24
2429;Pointure 24
24M;23 mois,2 ans
25/2;Pointure 26,Pointure 25
26/2;Pointure 27,Pointure 26
262;Pointure 28,Pointure 27,Pointure 26
27/2;Pointure 28,Pointure 27
27/3;Pointure 30,Pointure 29,Pointure 28,Pointure 27
2730;Pointure 30,Pointure 29,Pointure 28,Pointure 27
28/2;Pointure 29,Pointure 28
281;Pointure 38
29/3;Pointure 30,Pointure 29
293;Pointure 31,Pointure 30,Pointure 29
2A;23 mois,2 ans
3/34;Pointure 34,Pointure 33,Pointure 32,Pointure 31
3/37;Pointure 37,Pointure 36,Pointure 35
3/4;4 ans,3 ans
3/6;6 mois,3 mois
30/3;Pointure 31,Pointure 30
3035;Pointure 35,Pointure 34,Pointure 33,Pointure 32,Pointure 31,Pointure 30
31/3;Pointure 32,Pointure 31
3134;Pointure 34,Pointure 33,Pointure 32,Pointure 31
32/3;Pointure 33,Pointure 32
323;Pointure 34,Pointure 33,Pointure 32
33/3;Pointure 34,Pointure 33
34/3;Pointure 35,Pointure 34
35/3;Pointure 36,Pointure 35
35/4;Pointure 38,Pointure 37,Pointure 36,Pointure 35
3537;Pointure 37,Pointure 36,Pointure 35
3538;Pointure 38,Pointure 37,Pointure 36,Pointure 35
36/3;Pointure 37,Pointure 36
38/3;Pointure 38
38/4;Pointure 38
3A;3 ans
3M;3 mois
4/5;5 ans,4 ans
4/6;6 ans,5 ans,4 ans
40/4;Autres
46;Autres
4A;4 ans
5/6;6 ans,5 ans
5/7;6 ans,5 ans
50CM;Autres
55CM;Autres
5A;5 ans
6/12;6 mois,12 mois
6/8;8 ans,6 ans
6/9;6 mois
60CM;Autres
65CM;Autres
6A;6 ans
6M;6 mois
7/8;8 ans
70CM;Autres
75B;Autres
75CM;Autres
8/10;8 ans,10 ans
80B;Autres
80CM;Autres
85B;Autres
85CM;Autres
8A;8 ans
9/10;10 ans
9/12;12 mois
90B;Autres
95B;Autres
9M;9 mois
ABBE;Multicolore
ABPA;Multicolore
ABRI;Orange
ACIE;Gris
AEMV;Vert
AFLA;Rose,Multicolore
AGNO;Noir
AKVE;Vert
ALBA;Blanc
AMAN;Vert
AMBE;Vert,Multicolore
AMBR;Vert,Multicolore
AMET;Violet
AMIR;Bleu
AMLA;Violet,Vert,Multicolore
AMPA;Violet
ANBE;Gris
ANIS;Vert
ANMO;Vert
ANRG;Rouge
ANTH;Gris
ANVE;Vert
APRG;Orange,Multicolore
ARBL;Gris
ARDO;Gris
ARG;Gris
ARRG;Rouge
ASSO;Multicolore
AUBE;Violet
AZNA;Bleu
AZUR;Bleu
BANA;Jaune
BANC;Multicolore
BANM;Multicolore
BBBE;Blanc
BBEC;Bleu
BBEF;Beige
BBEM;Beige
BBGC;Beige
BBJA;Blanc
BBLC;Bleu
BBLF;Bleu
BBLM;Bleu
BBOF;Rouge
BBRF;Rouge
BBRM;Rouge
BBRO;Beige
BCBR;Rouge,Bleu
BCEM;Bleu
BCIM;Bleu
BCMA;Bleu
BCRO;Blanc
BCSA;Blanc
BDGR;Blanc
BDRO;Rose
BEBL;Bleu
BECH;Bleu
BECI;Bleu
BECL;Beige
BECM;Bleu
BEEC;Bleu
BEFC;Beige
BEGC;Beige
BEGR;Gris,Bleu
BEIG;Beige
BEJA;Bleu
BEKA;Beige
BELI;Jaune
BEMA;Beige
BEMO;Beige
BENE;Vert
BEOR;Bleu
BEPR;Beige
BERG;Rouge,Bleu
BETU;Bleu
BEVE;Bleu
BEVR;Vert
BGBC;Blanc
BGBE;Beige
BGBL;Beige
BGBR;Rouge,Beige
BGCH;Beige
BGCI;Beige
BGEC;Beige
BGMA;Beige
BGMR;Beige
BGOR;Beige
BGRC;Gris
BGRF;Gris
BGRM;Gris
BGRO;Rouge,Beige
BGRS;Beige
BGVI;Beige
BIAS;Multicolore
BIBL;Blanc
BIBO;Rouge
BIBR;Rouge
BICO;Multicolore
BIEC;Beige
BIFU;Rose
BIMA;Bleu
BINO;Noir
BITU;Beige
BJAC;Jaune
BJAF;Jaune
BJAM;Jaune
BJMA;Bleu
BJOM;Bleu
BKAC;Vert
BKAM;Vert
BKFO;Vert
BKJA;Blanc
BKMR;Beige
BLAM;Blanc
BLAN;Blanc
BLAZ;Blanc
BLBE;Blanc
BLCH;Bleu
BLCI;Blanc
BLCM;Bleu
BLCR;Bleu
BLDR;Blanc
BLEA;Bleu
BLEC;Bleu
BLEU;Bleu
BLFC;Bleu
BLFM;Blanc
BLFR;Blanc
BLGR;Bleu
BLJE;Bleu
BLJO;Blanc
BLLA;Blanc
BLLI;Bleu
BLMA;Blanc
BLMO;Bleu
BLMV;Blanc
BLNO;Bleu
BLOC;Bleu
BLOR;Blanc
BLPA;Blanc
BLRO;Blanc
BLRU;Rouge,Blanc
BLTA;Blanc
BLTU;Blanc
BLUC;Bleu
BMA2;Marron
