famille;age;sexe;attribute_set;categories
"ACC CH_CIRAGE";"BEBE";"F";"Default";"Chaussures enfants/Fille/Produits d'entretien"
"ACC CH_CIRAGE";"BEBE";"G";"Default";"Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_CIRAGE";"BEBE";"M";"Default";"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_CIRAGE";"DPAM";"F";"Default";"Chaussures enfants/Fille/Produits d'entretien"
"ACC CH_CIRAGE";"DPAM";"G";"Default";"Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_CIRAGE";"DPAM";"M";"Default";"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_IMPERMEABILISANT";"BEBE";"F";"Default";"Chaussures enfants/Fille/Produits d'entretien"
"ACC CH_IMPERMEABILISANT";"BEBE";"G";"Default";"Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_IMPERMEABILISANT";"BEBE";"M";"Default";"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_IMPERMEABILISANT";"DPAM";"F";"Default";"Chaussures enfants/Fille/Produits d'entretien"
"ACC CH_IMPERMEABILISANT";"DPAM";"G";"Default";"Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_IMPERMEABILISANT";"DPAM";"M";"Default";"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_PEDIMETRE";"BEBE";"F";"Default";"Chaussures enfants/Fille/Produits d'entretien"
"ACC CH_PEDIMETRE";"BEBE";"G";"Default";"Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_PEDIMETRE";"BEBE";"M";"Default";"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_PEDIMETRE";"DPAM";"F";"Default";"Chaussures enfants/Fille/Produits d'entretien"
"ACC CH_PEDIMETRE";"DPAM";"G";"Default";"Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_PEDIMETRE";"DPAM";"M";"Default";"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_SEMELLE";"BEBE";"F";"Chaussures";"Chaussures enfants/Fille/Produits d'entretien"
"ACC CH_SEMELLE";"BEBE";"G";"Chaussures";"Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_SEMELLE";"BEBE";"M";"Chaussures";"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_SEMELLE";"DPAM";"F";"Chaussures";"Chaussures enfants/Fille/Produits d'entretien"
"ACC CH_SEMELLE";"DPAM";"G";"Chaussures";"Chaussures enfants/Garcon/Produits d'entretien"
"ACC CH_SEMELLE";"DPAM";"M";"Chaussures";"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
"ACCESSOIRE";"BEBE";"F";"Default";"A classer"
"ACCESSOIRE";"BEBE";"G";"Default";"A classer"
"ACCESSOIRE";"BEBE";"M";"Default";"A classer"
"ACCESSOIRE";"DPAM";"F";"Default";"A classer"
"ACCESSOIRE";"DPAM";"G";"Default";"A classer"
"ACCESSOIRE";"DPAM";"M";"Default";"A classer"
"ACCESSOIRES CHAISE";"BEBE";"F";"Default";"La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises"
"ACCESSOIRES CHAISE";"BEBE";"G";"Default";"La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises"
"ACCESSOIRES CHAISE";"BEBE";"M";"Default";"La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises"
"ACCESSOIRES CHAISE";"DPAM";"F";"Default";"La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises"
"ACCESSOIRES CHAISE";"DPAM";"G";"Default";"La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises"
"ACCESSOIRES CHAISE";"DPAM";"M";"Default";"La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises"
"ACCESSOIRES DE THEME";"BEBE";"F";"Default";"A classer"
"ACCESSOIRES DE THEME";"BEBE";"G";"Default";"A classer"
"ACCESSOIRES DE THEME";"BEBE";"M";"Default";"A classer"
"ACCESSOIRES DE THEME";"DPAM";"F";"Default";"A classer"
"ACCESSOIRES DE THEME";"DPAM";"G";"Default";"Garçon 3 - 14 ans/Accessoires garcon/Autres"
"ACCESSOIRES DE THEME";"DPAM";"M";"Default";"A classer"
"ACCESSOIRES POUSSETTES";"BEBE";"F";"Accessoires Poussettes";"La Naissance et tout autour/La Puériculture/La Promenade/Accessoires poussette"
"ACCESSOIRES POUSSETTES";"BEBE";"G";"Accessoires Poussettes";"La Naissance et tout autour/La Puériculture/La Promenade/Accessoires poussette"
"ACCESSOIRES POUSSETTES";"BEBE";"M";"Accessoires Poussettes";"La Naissance et tout autour/La Puériculture/La Promenade/Accessoires poussette"
"ACCESSOIRES POUSSETTES";"DPAM";"F";"Accessoires Poussettes";"La Naissance et tout autour/La Puériculture/La Promenade/Accessoires poussette"
"ACCESSOIRES POUSSETTES";"DPAM";"G";"Accessoires Poussettes";"La Naissance et tout autour/La Puériculture/La Promenade/Accessoires poussette"
"ACCESSOIRES POUSSETTES";"DPAM";"M";"Accessoires Poussettes";"La Naissance et tout autour/La Puériculture/La Promenade/Accessoires poussette"
"ACCESSOIRES REPAS";"BEBE";"F";"Vaisselle";"La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas"
"ACCESSOIRES REPAS";"BEBE";"G";"Vaisselle";"La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas"
"ACCESSOIRES REPAS";"BEBE";"M";"Vaisselle";"La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas"
"ACCESSOIRES REPAS";"DPAM";"F";"Vaisselle";"La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas"
"ACCESSOIRES REPAS";"DPAM";"G";"Vaisselle";"La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas"
"ACCESSOIRES REPAS";"DPAM";"M";"Vaisselle";"La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas"
"ASSIETTE";"BEBE";"F";"Vaisselle";"La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas"
"ASSIETTE";"BEBE";"G";"Vaisselle";"La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas"
"ASSIETTE";"BEBE";"M";"Vaisselle";"La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas"
"ASSIETTE";"DPAM";"F";"Vaisselle";"La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas"
"ASSIETTE";"DPAM";"G";"Vaisselle";"La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas"
"ASSIETTE";"DPAM";"M";"Vaisselle";"La Naissance et tout autour/La Puériculture/Les Repas/Accessoires repas"
"BAIGNADE_NU PIEDS";"BEBE";"F";"Chaussures";"Chaussures enfants/Fille/Tongs, Plage"
"BAIGNADE_NU PIEDS";"BEBE";"G";"Chaussures";"Chaussures enfants/Garcon/Tongs, Plage"
"BAIGNADE_NU PIEDS";"BEBE";"M";"Chaussures";"Chaussures enfants/Fille/Tongs, Plage;;Chaussures enfants/Garcon/Tongs, Plage"
"BAIGNADE_NU PIEDS";"DPAM";"F";"Chaussures";"Chaussures enfants/Fille/Tongs, Plage"
"BAIGNADE_NU PIEDS";"DPAM";"G";"Chaussures";"Chaussures enfants/Garcon/Tongs, Plage"
"BAIGNADE_NU PIEDS";"DPAM";"M";"Chaussures";"Chaussures enfants/Fille/Tongs, Plage;;Chaussures enfants/Garcon/Tongs, Plage"
"BAIGNADE_SANDALE";"BEBE";"F";"Chaussures";"Chaussures enfants/Fille/Sandales, nu pieds"
"BAIGNADE_SANDALE";"BEBE";"G";"Chaussures";"Chaussures enfants/Garcon/Sandales, nu pieds"
"BAIGNADE_SANDALE";"BEBE";"M";"Chaussures";"Chaussures enfants/Fille/Sandales, nu pieds;;Chaussures enfants/Garcon/Sandales, nu pieds"
"BAIGNADE_SANDALE";"DPAM";"F";"Chaussures";"Chaussures enfants/Fille/Sandales, nu pieds"
"BAIGNADE_SANDALE";"DPAM";"G";"Chaussures";"Chaussures enfants/Garcon/Sandales, nu pieds"
"BAIGNADE_SANDALE";"DPAM";"M";"Chaussures";"Chaussures enfants/Fille/Sandales, nu pieds;;Chaussures enfants/Garcon/Sandales, nu pieds"
"BAIGNADE_TONG";"BEBE";"F";"Chaussures";"Chaussures enfants/Fille/Tongs, Plage"
"BAIGNADE_TONG";"BEBE";"G";"Chaussures";"Chaussures enfants/Garcon/Tongs, Plage"
"BAIGNADE_TONG";"BEBE";"M";"Chaussures";"Chaussures enfants/Fille/Tongs, Plage;;Chaussures enfants/Garcon/Tongs, Plage"
"BAIGNADE_TONG";"DPAM";"F";"Chaussures";"Chaussures enfants/Fille/Tongs, Plage"
"BAIGNADE_TONG";"DPAM";"G";"Chaussures";"Chaussures enfants/Garcon/Tongs, Plage"
"BAIGNADE_TONG";"DPAM";"M";"Chaussures";"Chaussures enfants/Fille/Tongs, Plage;;Chaussures enfants/Garcon/Tongs, Plage"
"BAIGNOIRE";"BEBE";"F";"Hygiène et bain";"La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats"
"BAIGNOIRE";"BEBE";"G";"Hygiène et bain";"La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats"
"BAIGNOIRE";"BEBE";"M";"Hygiène et bain";"La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats"
"BAIGNOIRE";"DPAM";"F";"Hygiène et bain";"La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats"
"BAIGNOIRE";"DPAM";"G";"Hygiène et bain";"La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats"
"BAIGNOIRE";"DPAM";"M";"Hygiène et bain";"La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats"
"BANDEAU";"BEBE";"F";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bandeaux, fichus, foulards"
"BANDEAU";"BEBE";"G";"Vêtements";"A classer"
"BANDEAU";"BEBE";"M";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bandeaux, fichus, foulards"
"BANDEAU";"DPAM";"F";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux"
"BANDEAU";"DPAM";"G";"Vêtements";"A classer"
"BANDEAU";"DPAM";"M";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux"
"BARRETTE";"BEBE";"F";"Default";"A classer"
"BARRETTE";"BEBE";"G";"Default";"A classer"
"BARRETTE";"BEBE";"M";"Default";"A classer"
"BARRETTE";"DPAM";"F";"Default";"Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux"
"BARRETTE";"DPAM";"G";"Default";"A classer"
"BARRETTE";"DPAM";"M";"Default";"Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux"
"BAVOIR";"BEBE";"F";"Textile";"La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes"
"BAVOIR";"BEBE";"G";"Textile";"La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes"
"BAVOIR";"BEBE";"M";"Textile";"La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes"
"BAVOIR";"DPAM";"F";"Textile";"La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes"
"BAVOIR";"DPAM";"G";"Textile";"La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes"
"BAVOIR";"DPAM";"M";"Textile";"La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes"
"BERMUDA";"BEBE";"F";"Vêtements";"A classer"
"BERMUDA";"BEBE";"G";"Vêtements";"Bébé garçon 3 à 23 mois/Bermudas, shorts"
"BERMUDA";"BEBE";"M";"Vêtements";"A classer"
"BERMUDA";"DPAM";"F";"Vêtements";"A classer"
"BERMUDA";"DPAM";"G";"Vêtements";"Garçon 3 - 14 ans/Bermudas, shorts"
"BERMUDA";"DPAM";"M";"Vêtements";"A classer"
"BIBERON";"BEBE";"F";"Biberonnerie";"La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie"
"BIBERON";"BEBE";"G";"Biberonnerie";"La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie"
"BIBERON";"BEBE";"M";"Biberonnerie";"La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie"
"BIBERON";"DPAM";"F";"Biberonnerie";"La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie"
"BIBERON";"DPAM";"G";"Biberonnerie";"La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie"
"BIBERON";"DPAM";"M";"Biberonnerie";"La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie"
