famille;age;sexe;attribute_set;categories_fr
ACC CH_CIRAGE;CHAUSSURES;F;Default;Chaussures enfants/Fille/Produits d'entretien
ACC CH_CIRAGE;CHAUSSURES;G;Default;Chaussures enfants/Garcon/Produits d'entretien
ACC CH_CIRAGE;CHAUSSURES;M;Default;"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
ACC CH_CIRAGE;CHAUSSURES;F;Default;Chaussures enfants/Fille/Produits d'entretien
ACC CH_CIRAGE;CHAUSSURES;G;Default;Chaussures enfants/Garcon/Produits d'entretien
ACC CH_CIRAGE;CHAUSSURES;M;Default;"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
ACC CH_IMPERMEA;CHAUSSURES;F;Default;Chaussures enfants/Fille/Produits d'entretien
ACC CH_IMPERMEA;CHAUSSURES;G;Default;Chaussures enfants/Garcon/Produits d'entretien
ACC CH_IMPERMEA;CHAUSSURES;M;Default;"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
ACC CH_IMPERMEA;CHAUSSURES;F;Default;Chaussures enfants/Fille/Produits d'entretien
ACC CH_IMPERMEA;CHAUSSURES;G;Default;Chaussures enfants/Garcon/Produits d'entretien
ACC CH_IMPERMEA;CHAUSSURES;M;Default;"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
ACC CH_PEDIMETR;CHAUSSURES;F;Default;Chaussures enfants/Fille/Produits d'entretien
ACC CH_PEDIMETR;CHAUSSURES;G;Default;Chaussures enfants/Garcon/Produits d'entretien
ACC CH_PEDIMETR;CHAUSSURES;M;Default;"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
ACC CH_PEDIMETR;CHAUSSURES;F;Default;Chaussures enfants/Fille/Produits d'entretien
ACC CH_PEDIMETR;CHAUSSURES;G;Default;Chaussures enfants/Garcon/Produits d'entretien
ACC CH_PEDIMETR;CHAUSSURES;M;Default;"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
ACC CH_SEMELLE;CHAUSSURES;F;Chaussures;Chaussures enfants/Fille/Produits d'entretien
ACC CH_SEMELLE;CHAUSSURES;G;Chaussures;Chaussures enfants/Garcon/Produits d'entretien
ACC CH_SEMELLE;CHAUSSURES;M;Chaussures;"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
ACC CH_SEMELLE;CHAUSSURES;F;Chaussures;Chaussures enfants/Fille/Produits d'entretien
ACC CH_SEMELLE;CHAUSSURES;G;Chaussures;Chaussures enfants/Garcon/Produits d'entretien
ACC CH_SEMELLE;CHAUSSURES;M;Chaussures;"Chaussures enfants/Fille/Produits d'entretien;;Chaussures enfants/Garcon/Produits d'entretien"
ACCESSOIRE;BEBE;F;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
ACCESSOIRE;BEBE;G;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
ACCESSOIRE;BEBE;M;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
ACCESSOIRE;DPAM;F;Default;Fille 3 - 14 ans/Accessoires fille/Autres
ACCESSOIRE;DPAM;G;Default;Garçon 3 - 14 ans/Accessoires garcon/Autres
ACCESSOIRE;DPAM;M;Default;Garçon 3 - 14 ans/Accessoires garcon/Autres
ACCESSOIRES CHA;BEBE;F;Default;La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises
ACCESSOIRES CHA;BEBE;G;Default;La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises
ACCESSOIRES CHA;BEBE;M;Default;La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises
ACCESSOIRES CHA;DPAM;F;Default;La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises
ACCESSOIRES CHA;DPAM;G;Default;La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises
ACCESSOIRES CHA;DPAM;M;Default;La Naissance et tout autour/La Puériculture/Les Repas/Chaises hautes, assises
ACCESSOIRES DE ;BEBE;F;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
ACCESSOIRES DE ;BEBE;G;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
ACCESSOIRES DE ;BEBE;M;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
ACCESSOIRES DE ;DPAM;F;Default;Fille 3 - 14 ans/Accessoires fille/Autres
