famille;age;sexe;attribute_set
ACC CH_CIRAGE;BEBE;F;Default
ACC CH_CIRAGE;BEBE;G;Default
ACC CH_CIRAGE;BEBE;M;Default
ACC CH_CIRAGE;DPAM;F;Default
ACC CH_CIRAGE;DPAM;G;Default
ACC CH_CIRAGE;DPAM;M;Default
ACC CH_IMPERMEABILISANT;BEBE;F;Default
ACC CH_IMPERMEABILISANT;BEBE;G;Default
ACC CH_IMPERMEABILISANT;BEBE;M;Default
ACC CH_IMPERMEABILISANT;DPAM;F;Default
ACC CH_IMPERMEABILISANT;DPAM;G;Default
ACC CH_IMPERMEABILISANT;DPAM;M;Default
ACC CH_PEDIMETRE;BEBE;F;Default
ACC CH_PEDIMETRE;BEBE;G;Default
ACC CH_PEDIMETRE;BEBE;M;Default
ACC CH_PEDIMETRE;DPAM;F;Default
ACC CH_PEDIMETRE;DPAM;G;Default
ACC CH_PEDIMETRE;DPAM;M;Default
ACC CH_SEMELLE;BEBE;F;Chaussures
ACC CH_SEMELLE;BEBE;G;Chaussures
ACC CH_SEMELLE;BEBE;M;Chaussures
ACC CH_SEMELLE;DPAM;F;Chaussures
ACC CH_SEMELLE;DPAM;G;Chaussures
ACC CH_SEMELLE;DPAM;M;Chaussures
ACCESSOIRE;BEBE;F;Default
ACCESSOIRE;BEBE;G;Default
ACCESSOIRE;BEBE;M;Default
ACCESSOIRE;DPAM;F;Default
ACCESSOIRE;DPAM;G;Default
ACCESSOIRE;DPAM;M;Default
ACCESSOIRES CHAISE;BEBE;F;Default
ACCESSOIRES CHAISE;BEBE;G;Default
ACCESSOIRES CHAISE;BEBE;M;Default
ACCESSOIRES CHAISE;DPAM;F;Default
ACCESSOIRES CHAISE;DPAM;G;Default
ACCESSOIRES CHAISE;DPAM;M;Default
ACCESSOIRES DE THEME;BEBE;F;Default
ACCESSOIRES DE THEME;BEBE;G;Default
ACCESSOIRES DE THEME;BEBE;M;Default
ACCESSOIRES DE THEME;DPAM;F;Default
ACCESSOIRES DE THEME;DPAM;G;Default
ACCESSOIRES DE THEME;DPAM;M;Default
ACCESSOIRES POUSSETTES;BEBE;F;Accessoires Poussettes
ACCESSOIRES POUSSETTES;BEBE;G;Accessoires Poussettes
ACCESSOIRES POUSSETTES;BEBE;M;Accessoires Poussettes
ACCESSOIRES POUSSETTES;DPAM;F;Accessoires Poussettes
ACCESSOIRES POUSSETTES;DPAM;G;Accessoires Poussettes
ACCESSOIRES POUSSETTES;DPAM;M;Accessoires Poussettes
ACCESSOIRES REPAS;BEBE;F;Vaisselle
ACCESSOIRES REPAS;BEBE;G;Vaisselle
ACCESSOIRES REPAS;BEBE;M;Vaisselle
ACCESSOIRES REPAS;DPAM;F;Vaisselle
ACCESSOIRES REPAS;DPAM;G;Vaisselle
ACCESSOIRES REPAS;DPAM;M;Vaisselle
ASSIETTE;BEBE;F;Vaisselle
ASSIETTE;BEBE;G;Vaisselle
ASSIETTE;BEBE;M;Vaisselle
ASSIETTE;DPAM;F;Vaisselle
ASSIETTE;DPAM;G;Vaisselle
ASSIETTE;DPAM;M;Vaisselle
BAIGNADE_NU PIEDS;BEBE;F;Chaussures
BAIGNADE_NU PIEDS;BEBE;G;Chaussures
BAIGNADE_NU PIEDS;BEBE;M;Chaussures
BAIGNADE_NU PIEDS;DPAM;F;Chaussures
BAIGNADE_NU PIEDS;DPAM;G;Chaussures
BAIGNADE_NU PIEDS;DPAM;M;Chaussures
BAIGNADE_SANDALE;BEBE;F;Chaussures
BAIGNADE_SANDALE;BEBE;G;Chaussures
BAIGNADE_SANDALE;BEBE;M;Chaussures
BAIGNADE_SANDALE;DPAM;F;Chaussures
BAIGNADE_SANDALE;DPAM;G;Chaussures
BAIGNADE_SANDALE;DPAM;M;Chaussures
BAIGNADE_TONG;BEBE;F;Chaussures
BAIGNADE_TONG;BEBE;G;Chaussures
BAIGNADE_TONG;BEBE;M;Chaussures
BAIGNADE_TONG;DPAM;F;Chaussures
BAIGNADE_TONG;DPAM;G;Chaussures
BAIGNADE_TONG;DPAM;M;Chaussures
BAIGNOIRE;BEBE;F;Hygiène et bain
BAIGNOIRE;BEBE;G;Hygiène et bain
BAIGNOIRE;BEBE;M;Hygiène et bain
BAIGNOIRE;DPAM;F;Hygiène et bain
BAIGNOIRE;DPAM;G;Hygiène et bain
BAIGNOIRE;DPAM;M;Hygiène et bain
BANDEAU;BEBE;F;Vêtements
BANDEAU;BEBE;G;Vêtements
BANDEAU;BEBE;M;Vêtements
BANDEAU;DPAM;F;Vêtements
BANDEAU;DPAM;G;Vêtements
BANDEAU;DPAM;M;Vêtements
BARRETTE;BEBE;F;Default
BARRETTE;BEBE;G;Default
BARRETTE;BEBE;M;Default
BARRETTE;DPAM;F;Default
BARRETTE;DPAM;G;Default
BARRETTE;DPAM;M;Default
BAVOIR;BEBE;F;Textile
BAVOIR;BEBE;G;Textile
BAVOIR;BEBE;M;Textile
